# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, WindX, WindY, WindZ
2.001000000000000156e+01,-4.708409474667136330e+00,7.114862725285665768e+00,6.210154371337417878e+00,9.889415699219703981e+00,9.933457945403455724e+00,1.002754630709984340e+01,2.424315121656999417e-01,3.243407227305037388e-01,3.902363024800415969e-01,3.509914626237548019e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.101000000000000156e+01,-4.189012924978053221e+00,6.343487510841513632e+00,5.454269264578904597e+00,9.880585105311871175e+00,9.929713930582998671e+00,1.002944845961336995e+01,2.447657830089522979e-01,3.418637877800883018e-01,3.607906808085635797e-01,3.605797484023958721e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.201000000000000156e+01,-3.745737389509072646e+00,5.679588852841890301e+00,4.707506688183697996e+00,9.871612437093258308e+00,9.926123063984512385e+00,1.003134125689887490e+01,2.488127574737654668e-01,3.573559835663266959e-01,3.317234788461995154e-01,3.701077801137084289e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.301000000000000156e+01,-3.360263682303189725e+00,5.095951815843398514e+00,3.974677723670679175e+00,9.862512504410744896e+00,9.922697665750979112e+00,1.003322461660657972e+01,2.500914596929900702e-01,3.704192419570229156e-01,3.075622090684883569e-01,3.799270892814986533e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.401000000000000156e+01,-3.016440696254763409e+00,4.570944867393282429e+00,3.260183798566684832e+00,9.853298623651268073e+00,9.919448212465642456e+00,1.003509868779801728e+01,2.469154998090397068e-01,3.812390169657096650e-01,2.900213604637564835e-01,3.898241227614942517e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.501000000000000156e+01,-2.703417908245509871e+00,4.091452428506007877e+00,2.568011183861993896e+00,9.843982928481700867e+00,9.916383699458835466e+00,1.003696376417581959e+01,2.399836564546213580e-01,3.903104223456221877e-01,2.784127969844576445e-01,3.992931242152988336e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.601000000000000156e+01,-2.415986324725219792e+00,3.652068059466182959e+00,1.901728845190336026e+00,9.834576638212803701e+00,9.913511969146130198e+00,1.003882023535505930e+01,2.312861980061458045e-01,3.981579981861365636e-01,2.707404803920132053e-01,4.078153234157044782e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.701000000000000156e+01,-2.153002482169017462e+00,3.252153141760801169e+00,1.264489447895773999e+00,9.825090228843691875e+00,9.910839951968190675e+00,1.004066855975021610e+01,2.229574381639249925e-01,4.051497076944294840e-01,2.648490103393493778e-01,4.150438438022961418e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.801000000000000156e+01,-1.915119915036149978e+00,2.892529001712635939e+00,6.590333061885641497e-01,9.815533502924445486e+00,9.908373812583086249e+00,1.004250924516865062e+01,2.164903506410950085e-01,4.114345687284912678e-01,2.592101456796310766e-01,4.208649349507826987e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.901000000000000156e+01,-1.702849438646898861e+00,2.573057306933944410e+00,8.769505878763382556e-02,9.805915588900450786e+00,9.906119024950262641e+00,1.004434282969129200e+01,2.124549790277908967e-01,4.169808242809557308e-01,2.532055601345543638e-01,4.253586365566990879e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.001000000000000156e+01,-1.515487053053164779e+00,2.291603825381530513e+00,-4.475871522833427263e-01,9.796244912807647864e+00,9.904080411514636140e+00,1.004616986156371361e+01,2.106353665491551563e-01,4.216646183315453378e-01,2.469910972835898666e-01,4.287089178357096908e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.101000000000000156e+01,-1.350953627436561666e+00,2.044223771298883996e+00,-9.452602268279152176e-01,9.786529178266231810e+00,9.902262176847454356e+00,1.004799088039831112e+01,2.103862264759952527e-01,4.253600384465996975e-01,2.411412943191899028e-01,4.311124407582151985e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.200999999999999801e+01,-1.206260089430377214e+00,1.826044728615697110e+00,-1.404142604485270063e+00,9.776775374032562027e+00,9.900667953112717967e+00,1.004980640264158076e+01,2.110063190166873714e-01,4.279986229466384295e-01,2.362771995042021733e-01,4.327178585324720772e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.300999999999999801e+01,-1.078200220688516175e+00,1.632273371720254218e+00,-1.823408944655739772e+00,9.766989810894434854e+00,9.899300861114259220e+00,1.005161691294838633e+01,2.119934947058028096e-01,4.295886378268405359e-01,2.328125146725861516e-01,4.336053527947705266e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.400999999999999801e+01,-9.639397712649765415e-01,1.458919152790415730e+00,-2.202573215815090357e+00,9.757178177969162647e+00,9.898163581117982446e+00,1.005342286115870820e+01,2.131362727627241216e-01,4.302018530179214095e-01,2.308631862729352835e-01,4.337986879464192369e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.500999999999999801e+01,-8.613276555526003797e-01,1.303075176491803155e+00,-2.541470418577116863e+00,9.747345604430888599e+00,9.897258424401277566e+00,1.005522466316469909e+01,2.144698321293484478e-01,4.299440154928741986e-01,2.302925598531206375e-01,4.332935925246567677e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.600999999999999801e+01,-7.689153167374812581e-01,1.162809110852315753e+00,-2.840237162330292442e+00,9.737496715049077878e+00,9.896587397041910705e+00,1.005702270352584193e+01,2.161611111982020828e-01,4.289249831471584340e-01,2.308273952294560005e-01,4.320865104251835342e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.700999999999999801e+01,-6.857772222108101667e-01,1.036834005825342908e+00,-3.099291309442909537e+00,9.727635673565794505e+00,9.896152251762146079e+00,1.005881733812461576e+01,2.183887851827300275e-01,4.272388164458404414e-01,2.321789672978390451e-01,4.301934310735905376e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.800999999999999801e+01,-6.112612728126687323e-01,9.241445016577786165e-01,-3.319310894027731607e+00,9.717766213710797629e+00,9.895954527136677115e+00,1.006060889599672414e+01,2.212617833363091646e-01,4.249569438949527544e-01,2.341255848460221112e-01,4.276556879227160213e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.900999999999999801e+01,-5.447760537640399248e-01,8.237494998668927204e-01,-3.501212514207604709e+00,9.707891661524591598e+00,9.895995576751225542e+00,1.006239768026671300e+01,2.247908049976799494e-01,4.221318660353035601e-01,2.365420636086128514e-01,4.245352653584036906e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.000999999999999801e+01,-4.856708308203596114e-01,7.345522081450721608e-01,-3.646129387852991233e+00,9.698014953887932776e+00,9.896276591566198988e+00,1.006418396860775388e+01,2.289036756540292483e-01,4.188061396387072755e-01,2.393853082390489662e-01,4.209048764682145616e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
